站點,排序,station_code1,station_code2,,
台東中學,"121.14622,22.74821",14622.74821,S.A,,
旅服中心,"121.147222,22.752222",147222.7522,S.B,,
台東,"121.150566,22.752594",150566.7526,S.C,,
中央市場,"121.149722,22.754333",149722.7543,S.D,,
公教會館站,"121.144444,22.755556",144444.7556,S.E,,
鼎東山線保養廠,"121.13366,22.75562",13366.75562,S.F,,
台東高商,"121.14389,22.75666",14389.75666,S.G,,
署東醫院,"121.150278,22.757056",150278.7571,S.H,,
更生路,"121.147222,22.759306",147222.7593,S.I,,
台東女中,"121.153,22.76017",153.76017,S.J,,
變電所,"121.144722,22.760944",144722.7609,S.K,,
傳廣更生站,"121.143889,22.761944",143889.7619,S.L,,
舊縣議會,"121.14278,22.76208",14278.76208,S.M,,
簡易法庭,"121.142778,22.762139",142778.7621,S.N,,
新生國小,"121.141475,22.763067",141475.7631,S.O,,
四維路口,"121.13919,22.764898",13919.7649,S.P,,
四維傳廣站,"121.142222,22.765833",142222.7658,S.Q,,
馬蘭加油站,"121.136917,22.767472",136917.7675,S.R,,
公東高工,"121.135083,22.769167",135083.7692,S.S,,
馬蘭榮家,"121.131667,22.772222",131667.7722,S.T,,
卑南入口站,"121.1275,22.776111",1275.776111,S.U,,
卑南農會,"121.125278,22.778333",125278.7783,S.V,,
卑南,"121.121722,22.781222",121722.7812,S.W,,
卑南國小,"121.118353,22.783523",118353.7835,S.X,,
南王,"121.115613,22.785468",115613.7855,S.Y,,
南王部落,"121.111944,22.788056",111944.7881,S.Z,,
卑南國中,"121.111667,22.788333",111667.7883,S.AA,,
卑南文化公園,"121.121111,22.791389",121111.7914,S.AB,,
台東新站,"121.123333,22.792778",123333.7928,S.AC,,
十股,"121.1055,22.792917",1055.792917,S.AD,,
下賓朗,"121.095,22.800694",95.800694,S.AE,,
賓朗,"121.092222,22.8085",92222.8085,S.AF,,
種蓄場,"121.08925,22.813611",8925.813611,S.AG,,
美濃入口,"121.090722,22.821278",90722.82128,S.AH,,
東成,"121.093806,22.83",93806.83,S.AI,,
美濃,"121.093694,22.836111",93694.83611,S.AJ,,
集貨場,"121.093583,22.841944",93583.84194,S.AK,,
